study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,mean_change_arm1,mean_change_arm2,sd_change_arm1,sd_change_arm2,n_change_arm1,n_change_arm2,dich_paper,event_arm1,event_arm2,totaln_arm1,totaln_arm2,precalc_g,precalc_g_se,precalc_log_rr,precalc_log_rr_se,other_stat,bl_mean_arm1,bl_sd_arm1,bl_n_arm1,bl_mean_arm2,bl_sd_arm2,bl_n_arm2,rand_arm1,rand_arm2,attr_arm1,attr_arm2,ROB_mod_arm_1,ROB_mod_arm_2,year,time_weeks,time_weeks_needs_cleaning,time,comorbid_mental,format,format_details,n_sessions_arm1,country,age_group,mean_age,percent_women,recruitment,diagnosis,target_group,rob,.id,.g,.g_se,notes
"Mörtberg, 2007",cbt,cau,cbt (grp),wlc,msd,FQ sp,self-report,15.5,7.1,35,18.7,8.4,33,,,,,,,,,,,,,,,,,20.7,6.7,35,21.5,7.3,33,35,33,9,15,0.7428571429,0.5454545455,2007,,17.33,post,n,grp,grp,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_FQsp_post_NA_self-report_cbt_cau_cbt(grp)_wlc,0.4077956413,0.2452052481,
"Mörtberg, 2007",cbt,cau,cbt (ind),wlc,msd,FNE,self-report,18.5,7.4,32,21.9,8.7,33,,,,,,,,,,,,,,,,,22.3,4.8,32,22.7,8,33,32,33,4,15,0.875,0.5454545455,2007,,17.33,post,n,ind,ind,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_FNE_post_NA_self-report_cbt_cau_cbt(ind)_wlc,0.415429677,0.250824431,
"Mörtberg, 2007",cbt,cau,cbt (ind),wlc,msd,SPS,self-report,21.5,13.8,32,28.1,17.9,33,,,,,,,,,,,,,,,,,37.9,12.5,32,35.8,16.1,33,32,33,4,15,0.875,0.5454545455,2007,,17.33,post,n,ind,ind,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_SPS_post_NA_self-report_cbt_cau_cbt(ind)_wlc,0.4072068103,0.2507181577,
"Mörtberg, 2007",cbt,cau,cbt (grp),wlc,msd,FNE,self-report,21.5,7.2,35,21.9,8.7,33,,,,,,,,,,,,,,,,,22.5,6.5,35,22.7,8,33,35,33,9,15,0.7428571429,0.5454545455,2007,,17.33,post,n,grp,grp,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_FNE_post_NA_self-report_cbt_cau_cbt(grp)_wlc,0.04966157713,0.2426788292,
"Mörtberg, 2007",cbt,cau,cbt (grp),wlc,msd,SPS,self-report,27.7,11.5,35,28.1,17.9,33,,,,,,,,,,,,,,,,,36.5,13.8,35,35.8,16.1,33,35,33,9,15,0.7428571429,0.5454545455,2007,,17.33,post,n,grp,grp,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_SPS_post_NA_self-report_cbt_cau_cbt(grp)_wlc,0.0264520383,0.2426514439,
"Mörtberg, 2007",cbt,cau,cbt (grp),wlc,msd,SIAS,self-report,36.7,14.7,35,40.8,17.6,33,,,,,,,,,,,,,,,,,44.5,16.1,35,46.5,14.4,33,35,33,9,15,0.7428571429,0.5454545455,2007,,17.33,post,n,grp,grp,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_SIAS_post_NA_self-report_cbt_cau_cbt(grp)_wlc,0.2506460291,0.2436126381,
"Mörtberg, 2007",cbt,cau,cbt (ind),wlc,msd,SIAS,self-report,37.8,17.7,32,40.8,17.6,33,,,,,,,,,,,,,,,,,51.6,15.5,32,46.5,14.4,33,32,33,4,15,0.875,0.5454545455,2007,,17.33,post,n,ind,ind,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_SIAS_post_NA_self-report_cbt_cau_cbt(ind)_wlc,0.1679470156,0.248546338,
"Mörtberg, 2007",cbt,cau,cbt (ind),wlc,msd,LSAS-SR,self-report,51.3,27.9,32,65.5,25.7,33,,,,,,,,,,,,,,,,,81.8,21.1,32,71.8,23.5,33,32,33,4,15,0.875,0.5454545455,2007,,17.33,post,n,ind,ind,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_LSAS-SR_post_NA_self-report_cbt_cau_cbt(ind)_wlc,0.5234179932,0.2524118832,
"Mörtberg, 2007",cbt,cau,cbt (grp),wlc,msd,LSAS-SR,self-report,52.5,19.4,35,65.5,25.7,33,,,,,,,,,,,,,,,,,68.1,20.9,35,71.8,23.5,33,35,33,9,15,0.7428571429,0.5454545455,2007,,17.33,post,n,grp,grp,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_LSAS-SR_post_NA_self-report_cbt_cau_cbt(grp)_wlc,0.5667985132,0.2475711935,
"Mulkens, 2001",other psy,wlc,,,msd,BRC,self-report,1.56,0.55,12,2.22,0.4,14,,,,,,,,,,,,,,,,,1.96,0.42,12,2.24,0.41,14,14,17,2,3,0.8571428571,0.8235294118,2001,,6,post,n,ind,ind,6,eu,adul,NR,0.774,com,sad,adul,,Mulkens_2001_msd_BRC_post_NA_self-report_otherpsy_wlc_NA_NA,1.34652839,0.438110758,
